,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
9467,Howard the Duck,(1986),4.7,"
110 min
|

Action, Adventure, Comedy            
","
A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.","
Votes:
47,534
| Gross:
$16.30M
",28        ,['Willard Huyck'],"['Lea Thompson', 'Jeffrey Jones', 'Tim Robbins', 'Ed Gale']"
9468,Porky's Revenge,(1985),4.7,"
92 min
|

Comedy            
","
As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game because he's betting on the opposing team.","
Votes:
8,736
| Gross:
$20.52M
",24        ,['James Komack'],"['Dan Monahan', 'Wyatt Knight', 'Tony Ganios', 'Mark Herrier']"
9469,Friday the 13th: A New Beginning,(1985),4.7,"
92 min
|

Horror, Mystery, Thriller            
","
Still haunted by his past, Tommy Jarvis, who, as a child, killed Jason Voorhees, is sent to a secluded halfway house in the countryside, where the killing of a young man triggers a brutal series of murders in the area.","
Votes:
39,073
| Gross:
$21.93M
",16        ,['Danny Steinmann'],"['Melanie Kinnaman', 'John Shepherd', 'Anthony Barrile', 'Suzanne Bateman']"
9470,Staying Alive,(1983),4.7,"
93 min
|

Drama, Music, Romance            
","
Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage.","
Votes:
16,232
| Gross:
$64.89M
",23        ,['Sylvester Stallone'],"['John Travolta', 'Cynthia Rhodes', 'Finola Hughes', 'Steve Inwood']"
9471,Rattlesnake,(2019),4.6,"
85 min
|

Drama, Horror, Mystery            
","
When a single mother accepts the help of a mysterious woman after her daughter is bitten by a rattlesnake, she finds herself making an unthinkable deal with the devil to repay the stranger.","
Votes:
8,784
",,['Zak Hilditch'],"['Carmen Ejogo', 'Theo Rossi', 'Emma Greenwell', 'Appy Pratt']"
9472,Daughter of the Wolf,(2019),4.6,"
R
|
88 min
|

Action, Thriller            
","
A military veteran hunts the men who kidnapped her son.","
Votes:
7,593
",36        ,['David Hackl'],"['Gina Carano', 'Brendan Fehr', 'Anton Gillis-Adelman', 'Richard Dreyfuss']"
9473,Like a Boss,(2020),4.6,"
R
|
83 min
|

Comedy            
","
Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.","
Votes:
14,264
",33        ,['Miguel Arteta'],"['Tiffany Haddish', 'Rose Byrne', 'Salma Hayek', 'Karan Soni']"
9474,Distorted,(I) (2018),4.6,"
R
|
86 min
|

Crime, Mystery, Thriller            
","
A couple moves to an isolated, modern, safe apartment building with CCTV after the wife has problems with nightmares. However, something's not quite right with the building.","
Votes:
8,985
",,['Rob W. King'],"['Christina Ricci', 'Brendan Fletcher', 'Vicellous Shannon', 'John Cusack']"
9475,The Humanity Bureau,(2017),4.6,"
R
|
95 min
|

Sci-Fi, Thriller            
","
A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.","
Votes:
12,588
",,['Rob W. King'],"['Nicolas Cage', 'Sarah Lind', 'Jakob Davies', 'Hugh Dillon']"
9476,Boo! A Madea Halloween,(2016),4.6,"
G
|
103 min
|

Comedy, Drama, Horror            
","
Madea lands in the midst of mayhem when she spends a haunted Halloween fending off killers, paranormal poltergeists, ghosts, ghouls, and zombies while keeping a watchful eye on her wild teenage great-niece.","
Votes:
8,648
| Gross:
$73.21M
",30        ,['Tyler Perry'],"['Tyler Perry', 'Cassi Davis', 'Patrice Lovely', 'Yousef Erakat']"
9477,I Am the Pretty Thing That Lives in the House,(2016),4.6,"
89 min
|

Drama, Horror, Mystery            
","
A young nurse takes care of an elderly author who lives in a haunted house.","
Votes:
14,792
",68        ,['Oz Perkins'],"['Ruth Wilson', 'Paula Prentiss', 'Bob Balaban', 'Lucy Boynton']"
9478,Precious Cargo,(2016),4.6,"
R
|
90 min
|

Action, Comedy, Thriller            
","
A crime boss tries to make off with loot that belongs to another thief.","
Votes:
9,475
",27        ,['Max Adams'],"['Bruce Willis', 'Mark-Paul Gosselaar', 'Claire Forlani', 'Jenna B. Kelly']"
9479,Redemption Day,(2021),4.6,"
R
|
99 min
|

Action, Drama, Thriller            
","
When the love of his life is kidnapped and held for ransom by terrorists, a war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces.","
Votes:
23,733
",22        ,['Hicham Hajji'],"['Gary Dourdan', 'Serinda Swan', 'Andy Garcia', 'Brice Bexter']"
9480,XX,(2017),4.6,"
R
|
80 min
|

Horror            
","
Four short horror films that are directed and written by women.","
Votes:
11,880
| Gross:
$0.03M
",64        ,"['Roxanne Benjamin', 'Sofìa Carrillo', 'Karyn Kusama', 'St. Vincent', 'Jovanka Vuckovic']","['Natalie Brown', 'Jonathan Watton', 'Peter DaCunha', 'Peyton Kennedy']"
9481,A Haunted House 2,(2014),4.6,"
R
|
86 min
|

Comedy, Fantasy, Horror            
","
Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.","
Votes:
21,883
| Gross:
$17.33M
",17        ,['Michael Tiddes'],"['Marlon Wayans', 'Jaime Pressly', 'Cedric the Entertainer', 'Essence Atkins']"
9482,The Pyramid,(2014),4.6,"
R
|
89 min
|

Horror, Mystery, Thriller            
","
An archaeological team attempts to unlock the secrets of a lost pyramid only to find themselves hunted by an insidious creature.","
Votes:
24,846
| Gross:
$2.76M
",24        ,['Grégory Levasseur'],"['Ashley Hinshaw', 'James Buckley', ""Denis O'Hare"", 'Christa Nicola']"
9483,God's Not Dead,(2014),4.6,"
PG
|
113 min
|

Drama            
","
College philosophy professor Mr. Radisson's curriculum is challenged by his new student, Josh, who believes God exists.","
Votes:
42,953
| Gross:
$60.76M
",16        ,['Harold Cronk'],"['Shane Harper', 'Kevin Sorbo', 'David A.R. White', 'Dean Cain']"
9484,Paranormal Activity: The Ghost Dimension,(2015),4.6,"
R
|
88 min
|

Horror, Mystery            
","
Using a special camera that can see spirits, a family must protect their daughter from an evil entity with a sinister plan.","
Votes:
28,258
| Gross:
$18.30M
",30        ,['Gregory Plotkin'],"['Chris J. Murray', 'Brit Shaw', 'Ivy George', 'Dan Gill']"
9485,Snatched,(2017),4.6,"
R
|
90 min
|

Action, Adventure, Comedy            
","
When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.","
Votes:
35,787
| Gross:
$45.83M
",45        ,['Jonathan Levine'],"['Amy Schumer', 'Goldie Hawn', 'Kim Caramele', 'Raven Goodwin']"
9486,Paranormal Activity 4,(2012),4.6,"
R
|
88 min
|

Horror, Mystery            
","
It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.","
Votes:
66,727
| Gross:
$53.92M
",40        ,"['Henry Joost', 'Ariel Schulman']","['Stephen Dunham', 'Katie Featherston', 'Matt Shively', 'Brendon Eggertsen']"
9487,Catch .44,(2011),4.6,"
R
|
94 min
|

Action, Thriller            
","
3 women are sent to intercept a major drug deal at a diner at 3 AM and get the money. Simple - save for Murphy's law: Anything that can go wrong will go wrong.","
Votes:
17,379
| Gross:
$0.00M
",,['Aaron Harvey'],"['Malin Akerman', 'Nikki Reed', 'Deborah Ann Woll', 'Forest Whitaker']"
9488,Freelancers,(2012),4.6,"
R
|
96 min
|

Action, Crime, Drama            
","
The son of a slain NYPD officer joins the force, where he falls in with his father's former partner and a team of rogue cops.","
Votes:
10,323
",,['Jessy Terrero'],"['50 Cent', 'Robert De Niro', 'Forest Whitaker', 'Malcolm Goodwin']"
9489,Firestarter,(2022),4.6,"
R
|
94 min
|

Drama, Horror, Sci-Fi            
","
A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.","
Votes:
14,340
",32        ,['Keith Thomas'],"['Zac Efron', 'Ryan Kiera Armstrong', 'Sydney Lemmon', 'Michael Greyeyes']"
9490,Bodyguard,(I) (2011),4.6,"
130 min
|

Action, Comedy, Drama            
","
The daughter of a wealthy nobleman secretly falls in love with her bodyguard.","
Votes:
26,160
",41        ,['Siddique'],"['Salman Khan', 'Kareena Kapoor', 'Raj Babbar', 'Hazel Keech']"
9491,Outcast,(I) (2014),4.6,"
99 min
|

Action, Adventure, Thriller            
","
A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.","
Votes:
13,658
",33        ,['Nick Powell'],"['Nicolas Cage', 'Hayden Christensen', 'Alexandre Bailly', 'Bozhao Wang']"
9492,Max Steel,(2016),4.6,"
PG-13
|
92 min
|

Action, Adventure, Fantasy            
","
The adventures of teenager Max McGrath and his alien companion, Steel, who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.","
Votes:
19,616
| Gross:
$3.82M
",22        ,['Stewart Hendler'],"['Ben Winchell', 'Josh Brener', 'Maria Bello', 'Andy Garcia']"
9493,Interceptor: สงครามขีปนาวุธ,(2022),4.6,"
99 min
|

Action, Adventure, Drama            
","
One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.","
Votes:
22,518
",51        ,['Matthew Reilly'],"['Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Mayen Mehta']"
9494,Why Did I Get Married Too?,(2010),4.6,"
PG-13
|
121 min
|

Comedy, Drama, Romance            
","
Four couples struggle to save their marriages once again on their annual marriage retreat, while each of them battle through financial, physical, mental, and emotional issues.","
Votes:
9,824
| Gross:
$60.10M
",43        ,['Tyler Perry'],"['Janet Jackson', 'Tyler Perry', 'Jill Scott', 'Sharon Leal']"
9495,I Can Do Bad All by Myself,(2009),4.6,"
PG-13
|
113 min
|

Comedy, Drama            
","
When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands.","
Votes:
10,220
| Gross:
$51.73M
",55        ,['Tyler Perry'],"['Tyler Perry', 'Taraji P. Henson', 'Adam Rodriguez', 'Brian White']"
9496,Branded,(2012),4.6,"
R
|
112 min
|

Drama, Fantasy, Sci-Fi            
","
In future Moscow, where corporate brands have created a disillusioned population, one man's effort to unlock the truth behind the conspiracy will lead to an epic battle with hidden forces that control the world.","
Votes:
9,163
| Gross:
$0.35M
",20        ,"['Jamie Bradshaw', 'Aleksandr Dulerayn']","['Ed Stoppard', 'Leelee Sobieski', 'Jeffrey Tambor', 'Ingeborga Dapkunaite']"
9497,After We Fell,(2021),4.6,"
R
|
98 min
|

Drama, Romance            
","
Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.","
Votes:
14,522
",,['Castille Landon'],"['Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard', 'Chance Perdomo']"
9498,Yogi Bear,(2010),4.6,"
PG
|
81 min
|

Animation, Adventure, Comedy            
","
A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo and Ranger Smith.","
Votes:
22,160
| Gross:
$100.25M
",35        ,['Eric Brevig'],"['Dan Aykroyd', 'Justin Timberlake', 'Anna Faris', 'Tom Cavanagh']"
9499,Night of the Demons,(2009),4.6,"
R
|
93 min
|

Action, Comedy, Fantasy            
","
A group of kids go to a Halloween party, only to have to face down a group of demons.","
Votes:
8,015
",,['Adam Gierasch'],"['Tatyana Kanavka', 'Michael Arata', 'Shannon Elizabeth', 'Linnea Quigley']"
9500,Megan Is Missing,(2011),4.6,"
89 min
|

Drama, Horror, Thriller            
","
Two teenage girls encounter an Internet child predator.","
Votes:
12,696
",,['Michael Goi'],"['Amber Perkins', 'Rachel Quinn', 'Dean Waite', 'Jael Elizabeth Steinmeyer']"
9501,The Prince,(I) (2014),4.6,"
18
|
93 min
|

Action, Thriller            
","
When his daughter is kidnapped, a retired assassin is drawn back into the life he gave up. To rescue her, he must confront his former rival.","
Votes:
18,597
",19        ,['Brian A. Miller'],"['Jason Patric', 'Bruce Willis', 'John Cusack', 'Jessica Lowndes']"
9502,The Grudge 3,(2009),4.6,"
R
|
90 min
|

Horror, Mystery, Thriller            
","
A young Japanese woman who holds the key to stopping the evil spirit of Kayako, travels to the haunted Chicago apartment from the sequel, to stop the curse of Kayako once and for all.","
Votes:
18,737
",,['Toby Wilkins'],"['Matthew Knight', 'Shawnee Smith', 'Mike Straub', 'Aiko Horiuchi']"
9503,Force of Nature,(2020),4.6,"
R
|
91 min
|

Action, Crime, Drama            
","
A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.","
Votes:
11,428
",29        ,['Michael Polish'],"['Emile Hirsch', 'Mel Gibson', 'David Zayas', 'Kate Bosworth']"
9504,"Surfer, Dude",(2008),4.6,"
R
|
85 min
|

Comedy            
","
A wave twisting tale of a soul searching surfer experiencing an existential crisis.","
Votes:
8,840
| Gross:
$0.04M
",16        ,['S.R. Bindler'],"['Matthew McConaughey', 'Woody Harrelson', 'Willie Nelson', 'Alexie Gilmore']"
9505,AVPR: Aliens vs Predator - Requiem,(2007),4.6,"
18 +
|
94 min
|

Action, Adventure, Horror            
","
Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.","
Votes:
126,405
| Gross:
$41.80M
",29        ,"['Colin Strause', 'Greg Strause']","['Reiko Aylesworth', 'Steven Pasquale', 'Shareeka Epps', 'John Ortiz']"
9506,Shrooms,(2007),4.6,"
84 min
|

Comedy, Horror, Mystery            
","
A group of friends are stalked and murdered whilst looking for psilocybin mushrooms in the Irish woods.","
Votes:
16,926
| Gross:
$0.00M
",,['Paddy Breathnach'],"['Lindsey Haun', 'Jack Huston', 'Max Kasch', 'Maya Hazen']"
9507,Code Name: The Cleaner,(2007),4.6,"
PG-13
|
84 min
|

Action, Comedy, Crime            
","
An amnesiac wakes up in a hotel room next to a dead FBI agent and $250,000. Is the sexy lady in the lobby his wife? Is he a spy or a cleaner?","
Votes:
11,799
| Gross:
$8.10M
",33        ,['Les Mayfield'],"['Cedric the Entertainer', 'Lucy Liu', 'Nicollette Sheridan', 'Mark Dacascos']"
9508,Black Christmas,(2006),4.6,"
R
|
95 min
|

Horror            
","
On Christmas Eve, an escaped maniac returns to his childhood home, which is now a sorority house, and begins to murder the sorority sisters one by one.","
Votes:
27,500
| Gross:
$16.24M
",22        ,['Glen Morgan'],"['Michelle Trachtenberg', 'Mary Elizabeth Winstead', 'Lacey Chabert', 'Katie Cassidy']"
9509,The Return,(2005),4.6,"
PG-13
|
85 min
|

Horror, Mystery, Thriller            
","
Joanna Mills, a traveling business woman, begins having nightmares of a murder that occurred 15 years ago. Soon she is drawn to an old farmhouse, where the murder took place.","
Votes:
12,073
| Gross:
$7.75M
",38        ,['Asif Kapadia'],"['Sarah Michelle Gellar', 'Sam Shepard', ""Peter O'Brien"", 'Adam Scott']"
9510,Venom,(2005),4.6,"
R
|
87 min
|

Horror            
","
A group of teenagers fear for their lives in the swamps of Louisiana, chased by Mr. Jangles, a man possessed by 13 evil souls, and now relentless in his pursuit of new victims.","
Votes:
10,347
| Gross:
$0.88M
",25        ,['Jim Gillespie'],"['Agnes Bruckner', 'Jonathan Jackson', 'Meagan Good', 'Bijou Phillips']"
9511,Superhero Movie,(2008),4.6,"
PG-13
|
75 min
|

Action, Comedy, Sci-Fi            
","
Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.","
Votes:
69,457
| Gross:
$26.64M
",33        ,['Craig Mazin'],"['Drake Bell', 'Leslie Nielsen', 'Sara Paxton', 'Christopher McDonald']"
9512,Captivity,(2007),4.6,"
R
|
96 min
|

Crime, Horror, Mystery            
","
A man and a woman awaken to find themselves trapped in a cellar. As their kidnapper drives them mad, the truth about their horrific abduction is revealed.","
Votes:
23,239
| Gross:
$2.63M
",24        ,['Roland Joffé'],"['Elisha Cuthbert', 'Daniel Gillies', 'Pruitt Taylor Vince', 'Michael Harney']"
9513,Deuce Bigalow: European Gigolo,(2005),4.6,"
R
|
83 min
|

Comedy            
","
Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst.","
Votes:
51,215
| Gross:
$22.26M
",23        ,['Mike Bigelow'],"['Rob Schneider', 'Eddie Griffin', 'Jeroen Krabbé', 'Til Schweiger']"
9514,Dorm Daze,(2003),4.6,"
R
|
96 min
|

Comedy, Crime, Mystery            
","
Set during a crazy afternoon in the lives of a dozen college students at a co-ed dorm that starts with the arrival of two very different women with the same name of Dominique.","
Votes:
7,930
| Gross:
$0.06M
",,"['David Hillenbrand', 'Scott Hillenbrand']","['Tatyana Ali', 'Boti Bliss', 'Gable Carr', 'Patrick Cavanaugh']"
9515,Confessions of a Teenage Drama Queen,(2004),4.6,"
PG
|
89 min
|

Comedy, Family, Music            
","
A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.","
Votes:
29,503
| Gross:
$29.33M
",33        ,['Sara Sugarman'],"['Lindsay Lohan', 'Megan Fox', 'Adam Garcia', 'Glenne Headly']"
9516,Biker Boyz,(2003),4.6,"
PG-13
|
110 min
|

Action, Drama            
","
A son of the leader of a legendary group of an urban biker gang tries to retain his championship title.","
Votes:
13,513
| Gross:
$21.70M
",36        ,['Reggie Rock Bythewood'],"['Laurence Fishburne', 'Derek Luke', 'Orlando Jones', 'Djimon Hounsou']"
9517,Half Past Dead,(2002),4.6,"
PG-13
|
98 min
|

Action, Crime, Thriller            
","
A man goes undercover in a hi-tech prison to find information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.","
Votes:
15,877
| Gross:
$15.36M
",23        ,['Don Michael Paul'],"['Morris Chestnut', 'Steven Seagal', 'Matt Battaglia', 'Ja Rule']"
9518,Freddy Got Fingered,(2001),4.6,"
R
|
87 min
|

Comedy            
","
An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy.","
Votes:
48,946
| Gross:
$14.25M
",13        ,['Tom Green'],"['Tom Green', 'Rip Torn', 'Marisa Coughlan', 'Eddie Kaye Thomas']"
9519,The Order,(2001),4.6,"
R
|
89 min
|

Action, Adventure, Comedy            
","
A playboy criminal contacts his dad after stealing a Faberge egg. Later it seems his dad has gone missing in Israel so he heads there. His disappearance is linked to the religious sect: The Order. Lots of fight and chase scenes.","
Votes:
8,645
",,['Sheldon Lettich'],"['Jean-Claude Van Damme', 'Sofia Milos', 'Charlton Heston', 'Brian Thompson']"
9520,The Next Best Thing,(2000),4.6,"
PG-13
|
108 min
|

Comedy, Drama, Romance            
","
Abbie, tired of failed relationships, has a one-night-stand with her gay friend; they agree to raise the resulting baby together.","
Votes:
11,355
| Gross:
$14.99M
",25        ,['John Schlesinger'],"['Madonna', 'Rupert Everett', 'Benjamin Bratt', 'Illeana Douglas']"
9521,Psycho,(1998),4.6,"
R
|
105 min
|

Horror, Mystery, Thriller            
","
A young female embezzler arrives at the Bates Motel, which has terrible secrets of its own.","
Votes:
48,669
| Gross:
$21.46M
",47        ,['Gus Van Sant'],"['Vince Vaughn', 'Anne Heche', 'Julianne Moore', 'Viggo Mortensen']"
9522,Highlander: Endgame,(2000),4.6,"
R
|
87 min
|

Action, Adventure, Fantasy            
","
Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.","
Votes:
20,470
| Gross:
$12.80M
",21        ,['Douglas Aarniokoski'],"['Christopher Lambert', 'Adrian Paul', 'Bruce Payne', 'Lisa Barbuscia']"
9523,Driven,(2001),4.6,"
PG-13
|
116 min
|

Action, Drama, Sport            
","
A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.","
Votes:
41,467
| Gross:
$32.72M
",29        ,['Renny Harlin'],"['Sylvester Stallone', 'Kip Pardue', 'Til Schweiger', 'Burt Reynolds']"
9524,Samurai Cop,(1991),4.6,"
96 min
|

Action, Crime, Thriller            
","
Joe Marshall and Frank Washington are two tenacious police detectives who seek at all costs to stop the Katana, a renegade Yakuza gang composed of violent and sadistic killers who want to lead the drug trade in Los Angeles.","
Votes:
8,806
",,['Amir Shervan'],"[""Robert Z'Dar"", 'Mathew Karedas', 'Janis Farley', 'Mark Frazer']"
9525,Major League: Back to the Minors,(1998),4.6,"
PG-13
|
100 min
|

Comedy, Sport            
","
A lousy minor league baseball team full of many different personalities gets a new manager, an aging minor league pitcher.","
Votes:
7,791
| Gross:
$3.55M
",,['John Warren'],"['Scott Bakula', 'Corbin Bernsen', 'Dennis Haysbert', 'Takaaki Ishibashi']"
9526,The Crow: City of Angels,(1996),4.6,"
R
|
84 min
|

Action, Crime, Fantasy            
","
The spirit of the Crow resurrects another man seeking revenge for the murder of his son.","
Votes:
20,520
| Gross:
$17.88M
",,['Tim Pope'],"['Vincent Perez', 'Mia Kirshner', 'Richard Brooks', 'Iggy Pop']"
9527,Vampire in Brooklyn,(1995),4.6,"
R
|
100 min
|

Comedy, Fantasy, Horror            
","
A ship docks in Brooklyn with all its crew dead, but someone gets off and the killing continues on land. A Caribbean vampire is searching for a specific woman, half-human half-vampire. Rita is the detective investigating the many killings.","
Votes:
23,696
| Gross:
$19.75M
",27        ,['Wes Craven'],"['Eddie Murphy', 'Angela Bassett', 'Allen Payne', 'Kadeem Hardison']"
9528,Leprechaun 2,(1994),4.6,"
R
|
85 min
|

Comedy, Fantasy, Horror            
","
On his one thousandth birthday, an evil leprechaun selects the descendant of one of his slaves to have as his bride, leaving it up to the girl's boyfriend to save her.","
Votes:
10,503
| Gross:
$2.26M
",,['Rodman Flender'],"['Warwick Davis', 'Charlie Heath', 'Shevonne Durkin', 'Sandy Baron']"
9529,Look Who's Talking Too,(1990),4.6,"
81 min
|

Comedy, Family, Romance            
","
This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister.","
Votes:
46,924
| Gross:
$47.49M
",,['Amy Heckerling'],"['John Travolta', 'Kirstie Alley', 'Olympia Dukakis', 'Elias Koteas']"
9530,Poltergeist III,(1988),4.6,"
98 min
|

Horror, Thriller            
","
Carol Anne is staying with her aunt in a high-rise building, where the supernatural forces haunting her make their return.","
Votes:
18,845
| Gross:
$14.11M
",40        ,['Gary Sherman'],"[""Heather O'Rourke"", 'Tom Skerritt', 'Nancy Allen', 'Zelda Rubinstein']"
9531,Ishtar,(1987),4.6,"
107 min
|

Action, Adventure, Comedy            
","
Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the C.I.A., the Emir of Ishtar, and the rebels trying to overthrow his regime.","
Votes:
11,278
| Gross:
$14.38M
",52        ,['Elaine May'],"['Warren Beatty', 'Dustin Hoffman', 'Isabelle Adjani', 'Charles Grodin']"
9532,Attack of the Killer Tomatoes!,(1978),4.6,"
83 min
|

Adventure, Comedy, Horror            
","
A group of scientists band together to save the world from mutated killer tomatoes.","
Votes:
13,845
",9        ,['John De Bello'],"['David Miller', 'George Wilson', 'Sharon Taylor', 'J. Stephen Peace']"
9533,The Craft: Legacy,(2020),4.5,"
PG-13
|
97 min
|

Drama, Fantasy, Horror            
","
A group of high school students form a coven of witches.","
Votes:
13,753
",54        ,['Zoe Lister-Jones'],"['Cailee Spaeny', 'Zoey Luna', 'Gideon Adlon', 'Lovie Simone']"
9534,Fifty Shades Freed,(2018),4.5,"
R
|
105 min
|

Drama, Romance, Thriller            
","
Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.","
Votes:
66,207
| Gross:
$100.41M
",31        ,['James Foley'],"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford']"
9535,Fifty Shades Darker,(2017),4.5,"
20
|
118 min
|

Drama, Romance, Thriller            
","
While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.","
Votes:
102,881
| Gross:
$114.38M
",33        ,['James Foley'],"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford']"
9536,Space Jam: A New Legacy,(2021),4.5,"
PG
|
115 min
|

Animation, Adventure, Comedy            
","
A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.","
Votes:
71,335
",36        ,['Malcolm D. Lee'],"['LeBron James', 'Don Cheadle', 'Cedric Joe', 'Khris Davis']"
9537,Patient Zero,(I) (2018),4.5,"
R
|
87 min
|

Action, Drama, Horror            
","
After an unprecedented global pandemic turns the majority of humankind into violent ""Infected,"" a man gifted with the ability to speak the Infected's new language leads the last survivors on a hunt for Patient Zero and a cure.","
Votes:
9,109
",,['Stefan Ruzowitzky'],"['Matt Smith', 'Stanley Tucci', 'Natalie Dormer', 'John Bradley']"
9538,The Dinner,(I) (2017),4.5,"
R
|
120 min
|

Crime, Drama, Thriller            
","
Two sets of wealthy parents meet for dinner to decide what to do about a crime their sons have committed.","
Votes:
8,731
| Gross:
$1.32M
",57        ,['Oren Moverman'],"['Michael Chernus', 'Taylor Rae Almonte', 'Steve Coogan', 'Charlie Plummer']"
9539,Hammer of the Gods,(2013),4.5,"
R
|
99 min
|

Action, Horror            
","
A young man transforms into a brutal warrior as he travels the unforgiving landscape in search of his long lost brother, Hakan the Ferocious, whose people are relying on him to restore order to their kingdom.","
Votes:
8,174
| Gross:
$0.00M
",44        ,['Farren Blackburn'],"['Charlie Bewley', 'Alexandra Dowling', 'Clive Standen', 'James Cosmo']"
9540,Nurse 3-D,(2013),4.5,"
R
|
84 min
|

Horror, Thriller            
","
By day, Abby Russell is a dedicated nurse, but by night, she lures cheating men to their brutal deaths and exposes them for who they really are.","
Votes:
10,785
",29        ,['Douglas Aarniokoski'],"['Paz de la Huerta', 'Katrina Bowden', 'Judd Nelson', 'Corbin Bleu']"
9541,The Darkness,(I) (2016),4.5,"
PG-13
|
92 min
|

Horror, Thriller            
","
A family unknowingly awakens an ancient supernatural entity on a Grand Canyon vacation, and must fight for survival when it follows them home.","
Votes:
16,262
| Gross:
$10.73M
",27        ,['Greg McLean'],"['Kevin Bacon', 'Radha Mitchell', 'David Mazouz', 'Lucy Fry']"
9542,Skyline,(2010),4.5,"
PG-13
|
92 min
|

Action, Sci-Fi, Thriller            
","
Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth.","
Votes:
90,079
| Gross:
$21.37M
",26        ,"['Colin Strause', 'Greg Strause']","['Eric Balfour', 'Donald Faison', 'Scottie Thompson', 'Brittany Daniel']"
9543,Passion Play,(2010),4.5,"
R
|
94 min
|

Drama, Fantasy, Romance            
","
An angel under the thumb of a ruthless gangster is saved by a trumpet player down on his luck.","
Votes:
8,467
| Gross:
$0.00M
",22        ,['Mitch Glazer'],"['Mickey Rourke', 'Megan Fox', 'Bill Murray', 'Kelly Lynch']"
9544,Dying of the Light,(2014),4.5,"
R
|
94 min
|

Action, Drama, Thriller            
","
When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.","
Votes:
10,829
",31        ,['Paul Schrader'],"['Nicolas Cage', 'Anton Yelchin', 'Alexander Karim', 'Irène Jacob']"
9545,Sex and the City 2,(2010),4.5,"
R
|
146 min
|

Comedy, Drama, Romance            
","
While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.","
Votes:
80,150
| Gross:
$95.35M
",27        ,['Michael Patrick King'],"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon']"
